ticker,parent,spinoff_date,description,entry_date,exit_date,entry_price,exit_price,spinoff_return,spy_return,alpha,status
MPC,MRO,2011-07-01,Marathon Petroleum from Marathon Oil,2011-08-01,2012-07-30,14.763556480407715,15.970975875854492,0.08178377595189268,0.09975404212312533,-0.01797026617123265,closed
ADT,TYC,2012-09-28,ADT Security from Tyco International,,,,,,,,no_data
ABBV,ABT,2013-01-02,AbbVie from Abbott Laboratories,2013-02-01,2014-02-03,22.208965301513672,29.29778289794922,0.31918720661661815,0.17486806271269617,0.14431914390392198,closed
ZTS,PFE,2013-02-01,Zoetis from Pfizer,2013-03-04,2014-03-03,30.925048828125,28.13783836364746,-0.09012792445270745,0.2340796308575963,-0.32420755531030376,closed
VOYA,ING,2013-05-02,Voya Financial from ING Group,2013-06-03,2014-06-02,25.210596084594727,32.732547760009766,0.29836468960015705,0.19737504165066055,0.1009896479494965,closed
SYF,GE,2014-07-31,Synchrony Financial from General Electric,2014-09-02,2015-08-31,20.496122360229492,26.1863956451416,0.2776268205713617,0.004721194854080846,0.27290562571728083,closed
PYPL,EBAY,2015-07-20,PayPal from eBay,2015-08-19,2016-08-18,36.99222183227539,38.01675033569336,0.02769578177983556,0.07337412727510584,-0.04567834549527028,closed
HPE,HPQ,2015-11-02,HP Enterprise from Hewlett-Packard,2015-12-02,2016-12-01,6.569608211517334,10.400089263916016,0.5830608050086421,0.07561454322045069,0.5074462617881914,closed
BXLT,BAX,2015-07-01,Baxalta from Baxter International,,,,,,,,no_data
FTV,DHR,2016-07-02,Fortive from Danaher,2016-08-01,2017-08-01,28.975065231323242,39.7186164855957,0.3707860937844667,0.16321033693147102,0.20757575685299567,closed
AA,ARNC,2016-11-01,Alcoa Corp from Arconic,2016-12-01,2017-12-01,27.585525512695312,39.773590087890625,0.44182825408151705,0.2288174637945979,0.21301079028691916,closed
CNDT,XRX,2017-01-03,Conduent from Xerox,2017-02-02,2018-02-02,14.510000228881836,16.260000228881836,0.12060647638837829,0.23284517250064707,-0.11223869611226878,closed
DXC,HPE,2017-04-03,DXC Technology from HPE / CSC,2017-05-03,2018-05-03,63.28627014160156,83.57235717773438,0.320544835250097,0.12224750070146007,0.19829733454863696,closed
DOW,DWDP,2019-04-01,Dow Inc from DowDuPont,2019-05-01,2020-04-30,38.021183013916016,26.394834518432617,-0.3057860795974726,0.015781949434408915,-0.32156802903188153,closed
CTVA,DWDP,2019-06-03,Corteva Agriscience from DowDuPont,2019-07-03,2020-07-02,26.425527572631836,25.80683708190918,-0.02341260695825864,0.06580631774946721,-0.08921892470772586,closed
OTIS,UTX,2020-04-03,Otis Worldwide from United Technologies,2020-05-04,2021-05-03,45.27788162231445,72.60899353027344,0.6036305350135749,0.4984183193344027,0.10521221567917216,closed
CARR,UTX,2020-04-03,Carrier Global from United Technologies,2020-05-04,2021-05-03,15.1661958694458,40.67236328125,1.6817775288785217,0.4984183193344027,1.183359209544119,closed
HWM,ARNC,2020-04-01,Howmet Aerospace from Arconic,2020-05-01,2021-05-03,12.363676071166992,31.579620361328125,1.5542257965633812,0.5025514612392845,1.0516743353240967,closed
GXO,XPO,2021-08-02,GXO Logistics from XPO Inc,2021-09-01,2022-09-01,83.01000213623047,43.47999954223633,-0.4762077048151395,-0.11010123970982189,-0.36610646510531764,closed
KD,IBM,2021-11-04,Kyndryl Holdings from IBM,2021-12-06,2022-12-05,19.219999313354492,11.220000267028809,-0.41623305578201053,-0.1158555642910356,-0.3003774914909749,closed
CEG,EXC,2022-01-03,Constellation Energy from Exelon,2022-02-02,2023-02-02,51.254859924316406,83.25541687011719,0.6243419061734481,-0.07392242463284171,0.6982643308062898,closed
RXO,XPO,2022-11-01,RXO Inc from XPO,2022-12-01,2023-12-01,18.899999618530273,21.420000076293945,0.13333336024477838,0.14469853955528023,-0.01136517931050185,closed
GEHC,GE,2023-01-04,GE HealthCare from General Electric,2023-02-03,2024-02-05,70.20584869384766,73.16878509521484,0.04220355506687068,0.21264953700991196,-0.17044598194304128,closed
KVUE,JNJ,2023-05-04,Kenvue from Johnson & Johnson,2023-06-05,2024-06-03,22.52862548828125,17.93220329284668,-0.204025860247244,0.25367163939493165,-0.45769749964217565,closed
VLTO,DHR,2023-09-14,Veralto from Danaher,2023-10-16,2024-10-14,73.5107650756836,112.65231323242188,0.5324600841310765,0.35818176162203397,0.17427832250904252,closed
SOLV,MMM,2024-04-01,Solventum from 3M,2024-05-01,2025-05-01,65.1500015258789,65.62000274658203,0.00721413982648067,0.1303645656960013,-0.12315042586952063,closed
GEV,GE,2024-04-02,GE Vernova from General Electric,2024-05-02,2025-05-02,153.35362243652344,395.691162109375,1.580253115789036,0.1365134533424741,1.443739662446562,closed
